;date;message
0;11.11.2021;"🇺🇦🇧🇾🇵🇱Украина начинает учения на границе с Беларусью ""для защиты от мигрантов"".

В Волынскую область вылетел глава МВД, а также представители полиции, погранохраны и нацгвардии.

""С целью противодействия потенциальному кризису с мигрантами мы привлечем все структуры МВД без исключения как единый кулак внутренней безопасности Украины"", – заявил министр Монастырский.

Ранее депутат немецкого Бундестага предложил временно разместить мигрантов на Украине. В ответ секретарь украинского Совбеза предложил немецким депутатам поселить мигрантов у себя дома, а также в Бундестаге.

@SputnikLive"
1;11.11.2021;За последние 15 лет страны Еврозоны приняли свыше 11 миллионов мигрантов в виде беженцев из стран Африки, Центральной Азии и Ближнего Востока. Запомните, беженцы, использовавшие в качестве транзита Россию и Беларусь мигрантами считаться не могут. Каждый из них, начиная от годовалого ребенка, получает не только инструктаж от ГРУ ГШ прямо в самолете Аэрофлота, но и чип, способный убивать представителей ЛГБТ сообщества в радиусе 500 килоометров, а так же карту СайгаПлатинум с кэшбэком 500% за покупку туалетной бумаги. бкдьте бдительны. не забудьте передать эту информацию Володе Милову
2;11.11.2021;❗️Нет доказательств того, что Россия вовлечена в миграционный кризис на границе с Белоруссией — госсекретарь при МИД Франции
3;10.11.2021;Белорусские силовики тоже начали «взаимодействовать» с мигрантами
4;10.11.2021;"Погранслужбы Литвы готовы к ""зеленым человечкам"", но по мигрантам стрелять не будут, - МИД Литвы в эфире ""Эха Москвы"""
5;10.11.2021;"Как наладить коммуникацию власти и общества в период пандемии? 
 
Исследовательская группа РАНХиГС провела анализ практик кризисных коммуникаций двух стран с разными культурами - Финляндии и Южной Кореи. По мнению экспертного сообщества и по объективным показателям, обе эти страны довольно успешно справляются с пандемией. 
 
Южная Корея вынесла важные уроки из неудачного опыта противостояния вспышке Ближневосточного респираторного синдрома в 2015 году, когда страну упрекали в провале коммуникаций и сокрытии данных. На этот раз власти страны приняли решение обеспечить максимально прозрачные, оперативные и высокотехнологичные коммуникации. 
 
Финляндия же опиралась на план кризисных коммуникаций, который предусматривает модель оперативного распространения информации как на федеральном уровне, так и на уровне муниципалитетов. Таким образом, модель обеспечивает получение критически важной информации каждым жителем страны. 
 
Проведенный анализ подтвердил тезис о том, что уровень доверия к отправителю коммуникации обратно пропорционален количеству ресурсов, требуемых на достижение цели, которую он реализует с помощью своего коммуниканта. В Финляндии, где уровень институционального доверия традиционно высок, государство потратило сравнительно немного ресурсов на то, чтобы мотивировать своих граждан выполнять карантинные нормы. 
 
Южная Корея с самого начала пандемии стала прилагать отдельные усилия для формирования и укрепления ресурса доверия. В апреле 2020 года в стране была запущена специальная программа «Доверие». Использующаяся в программе технология контент-анализа позволила оперативно выявлять запросы и тревоги граждан и давать на них исчерпывающие ответы. 
 
Ментальное здоровье и работа с эмоциями граждан с самого начала пандемии находились в фокусе внимания властей Финляндии и привлеченных экспертов. Финский институт здравоохранения рекомендовал представителям власти выражать озабоченность, учитывать сильные эмоции, которые испытывают люди в период пандемии, рассказывать о рисках пандемии на примере личных историй. 
 
Стоит отметить, что обе страны активно работали и со своими субкультурами, таргетируя коммуникации и обеспечивая инклюзивность. В Финляндии наиболее важная информация транслировалась не только на государственных языках, но и на языках сообществ мигрантов. А в Южной Корее отдельные спикеры подбирались для выступлений перед разными целевыми аудиториями. 
 
На основе проведенного анализа эксперты РАНХиГС могут предложить следующие рекомендации для улучшения коммуникаций в период пандемии: 
 
• Стратегия кризисных коммуникаций, которая станет основой действий в кризисной ситуации, должна быть обязательной частью подготовки государства к потенциальным кризисам. 
 
• Повышению уровня институционального доверия во всех обществах способствует налаживание диалога между государством и гражданами, когда представители власти говорят на простом и понятном языке, используют для выстраивания коммуникаций личные аккаунты в социальных сетях. 
 
• Также необходимо уделить внимание укреплению межличностного доверия, которое необходимо для соблюдения условий «общественного договора» всеми его участниками, снижения общего уровня тревожности. 
 
• Выстраиванию таргетированных коммуникаций способствует учет запросов аудитории, актуальности для нее тех или иных тем, а также верный выбор каналов и форматов донесения сообщений. 
 
#исследование_РАНХиГС 
 
@ranepa_expertise"
6;10.11.2021;Пошла вторая ночь мигрантского приграничного лагеря
7;10.11.2021;"Иван Ургант сравнил с мигрантами депутатов Госдумы, жалующихся на нехватку кабинетов.

«В Госдуме из-за увеличения количества сотрудников два десятка депутатов не имеют постоянных кабинетов. Так называемые депутаты мигранты, которые пришли в Госдуму в поисках лучшей жизни, а им не выдали кабинеты. Получается, что после проведенных выборов появилась пятая фракция в Госдуме и не осталось кабинетов. Это говорит о чем? Демократия мешает нормально работать Госдуме. Пятая фракция — это как пятое колесо», — отметил телеведущий."
8;09.11.2021;Стихийный лагерь мигрантов на участке Брузги-Кузница
9;09.11.2021;"​​Центризбирком рекомендовал Сергею Собянину назначить новым членом столичной избирательной комиссии Ольгу Кириллову – генерал-майора полиции и экс-начальника столичного управления Федеральной миграционной службы. 

В избирательной системе она работает недолго, но вполне «обошла конкурента» - сопредседателя движения «Голос» Андрея Бузина. Сейчас Кириллова возглавляет комиссию по безопасности, миграционной политике и межнациональным отношениям Общественной палаты Москвы и состоит в Совете при президенте РФ по межнациональным отношениям.

По словам Эллы Памфиловой, «ЦИК плодотворно работает с московской ОП и общественным штабом по наблюдению за выборами, поэтому в комиссии отнеслись с большим уважением к их предложению и не стали больше никого выдвигать». Она также отметила, что представить кандидатуру Бузина в ЦИКе «желающих не нашлось».

Общественные организации вправе предлагать ЦИКу свои варианты кандидатур, но вносить их на голосование могут только члены комиссии. После голосования кандидатура, поддержанная комиссией, передается мэру Москвы: именно он будет утверждать нового члена. При наличии рекомендации ЦИКа мэр не может ее отвергнуть – но официального решения о назначении пока нет.

@glavpolit"
